Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,My Rating (%),Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Year Read,Years on List,Lit Publisher Flag,Genre/Commercial Publisher Flag,Critical Signal Proxy,Amazon Consumer Signal Proxy,Author Books Read,Author Avg Rating,Author Best Rating,Author Known Flag,Author 4+ Rate,Author 5★ Rate,Author Tier,Predicted 4+ Probability,Predicted 5★ Probability,Distinctiveness Score,Momentum Score,Repetition Risk,Critical_Reception,Crowd_Divergence,Master Decision Score,Suggested Bucket,User Action,User Notes,Decision Bucket %,Is_4Plus,Is_5Star,Key,Legacy Decision Score (Model 1 — do not reference),Legacy Tag-Adjusted Score (v4 — superseded),R1_Slow,R2_Repetitive,R3_VibeClash,R4_HighConcept,R5_Dense,R6_WeakWriting,R7_SeriesFatigue,P1_Distinctive,P2_Propulsive,P3_Emotional,P4_Clever,P5_Structure,P6_Voice,V1_Speculative,V2_Dark,V3_Romantic,V4_PlotDriven,V5_Atmospheric,V6_ShortOrStandalone,Risk_Score,Reward_Score,G0_Genre,G1_Subgenre
428263,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,"Meyer, Stephenie",,0316160202,9780316160209,5,1,3.74,"Little, Brown and Company",Hardcover,629,2007,2007,,2012-08-03 0:00:00,"r4-highconcept, p4-clever, p5-structure, v3-romantic, v5-atmospheric, g0-fantasy, g1-romantic-fantasy",,read,1,0,,13.64,0,0,0,0,4,5,5,1,1,1,2,0.5953676471,0.6322132353,2,2,1,0,1,93.26%,Strong Keep,,,0.65,1,1,"eclipse (the twilight saga, #3)|stephenie meyer",0.6681421324,0.6541,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0.18,0.5,Fantasy,Romantic Fantasy
208430757,Darkly,Marisha Pessl,"Pessl, Marisha",,0593706552,9780593706558,0,,3.67,Delacorte Press,Hardcover,399,2024,2024,,2025-07-23 0:00:00,"strong-keep, p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-thriller, g1-psychological-thriller",to-read (#418),to-read,0,0,,0.67,0,1,0,0,3,4.333333333,5,1,1,0.3333333333,1,0.5603676471,0.270879902,2,1,0,1,1,93.21%,Strong Keep,Strong Keep,,0.55,0,0,darkly|marisha pessl,0.5761021324,0.2709,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0.7,Thriller,Psychological Thriller
,The Lights of Prague,Nicole Jarvis,"Jarvis, Nicole",,,,0,,3.95,,Hardcover,384,2021,2021,,2026-03-26 0:00:00,"strong-keep, p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, v5-atmospheric, g0-fantasy, g1-urban-fantasy",,to-read,0,1,,0,0,1,0,2,0,3.95,3.95,0,,,0,0.8,0.58,2,2,0,0,0,93.10%,Strong Keep,Strong Keep,,,0,0,the lights of prague|nicole jarvis,0.58,0.68,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0.6,Fantasy,Urban Fantasy
12287209,"Wool (Wool, #1)",Hugh Howey,"Howey, Hugh",,,,4,0.8,4.14,Broad Reach,Kindle Edition,56,2011,2011,,2013-01-20 0:00:00,"p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-science-fiction, g1-dystopian",,read,1,0,,13.18,0,0,1,3,1,4,4,1,1,0,0,0.6741029412,0.5705330882,2,2,0,0,0,93.03%,Strong Keep,,,0.95,1,0,"wool (wool, #1)|hugh howey",0.9643031985,0.6455,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0.6,Science Fiction,Dystopian
31578016,Exit West,Mohsin Hamid,"Hamid, Mohsin",,073521218X,9780735212183,4,0.8,3.74,Riverhead,Kindle Edition,240,2017,2017,2017-12-26 0:00:00,2017-07-01 0:00:00,"p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, v5-atmospheric, g0-literary-fiction, g1-contemporary-literary",,read,1,0,2017,8.73,1,0,2,0,1,4,4,1,1,0,0,0.3941029412,0.2705330882,2,2,0,3,0,93.03%,Strong Keep,,,0.6,1,0,exit west|mohsin hamid,0.6432031985,0.3455,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0.6,Literary Fiction,Contemporary Literary
15783828,"Kill City Blues (Sandman Slim, #5)",Richard Kadrey,"Kadrey, Richard",,0062094599,9780062094599,5,1,4.13,Harper Voyager,Hardcover,383,2013,2013,2013-08-02 0:00:00,2013-07-31 0:00:00,"p2-propulsive, p3-emotional, p4-clever, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-fantasy, g1-urban-fantasy",,read,1,0,2013,12.65,0,1,0,3,6,4.5,5,1,0.8333333333,0.6666666667,2,0.7237009804,0.6215465686,2,2,0,0,0,92.98%,Strong Keep,,,0.95,1,1,"kill city blues (sandman slim, #5)|richard kadrey",0.9693054657,0.6913,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0.2,0.45,Fantasy,Urban Fantasy
37887580,All the Young Dudes,MsKingBean89,"MsKingBean89, MsKingBean89",,,,0,,4.76,Archive of Our Own,ebook,1799,2018,2018,,2024-11-07 0:00:00,"strong-keep, r3-vibeclash, r5-dense, p3-emotional, p4-clever, p5-structure, p6-voice, v2-dark, v3-romantic, v4-plotdriven, v5-atmospheric, g0-fantasy, g1-urban-fantasy",to-read (#364),to-read,0,0,,1.38,0,0,1,2,,,,0,,,0,0.9261029412,0.8405330882,1,1,0,0,0,92.97%,Strong Keep,Strong Keep,,0.95,0,0,all the young dudes|mskingbean89,0.9900431985,0.8546,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0.12,0.7,Fantasy,Urban Fantasy
2118745,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,1406310255,9781406310252,5,1,3.97,Walker,Hardcover,479,2008,2008,,2012-08-03 0:00:00,"p3-emotional, p4-clever, p5-structure, v1-speculative, v2-dark, v3-romantic, v4-plotdriven, v6-shortorstandalone, g0-science-fiction, g1-dystopian",,read,1,0,,13.64,0,0,0,1,4,3.75,5,1,0.5,0.25,0,0.5103676471,0.3492132353,2,2,0,2,0,92.96%,Strong Keep,,,0.9,1,1,"the knife of never letting go (chaos walking, #1)|patrick ness",0.9124521324,0.4242,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0.75,Science Fiction,Dystopian
60521937,A Dowry of Blood,S.T. Gibson,"Gibson, S.T.",,0316501077,9780316501071,4,0.8,3.92,Redhook,Hardcover,292,2022,2021,2025-06-30 0:00:00,2024-11-19 0:00:00,"p3-emotional, p4-clever, p5-structure, v1-speculative, v2-dark, v3-romantic, v4-plotdriven, v5-atmospheric, g0-horror, g1-gothic",,read,1,0,2025,1.35,0,1,0,2,1,4,4,1,1,0,0,0.5201029412,0.4055330882,2,2,0,1,0,92.78%,Strong Keep,,,0.85,1,0,a dowry of blood|s.t. gibson,0.8585731985,0.4505,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0.75,Horror,Gothic
25489849,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"Schwab, V.E.",,,,4,0.8,4.19,Tor Books,Kindle Edition,521,2016,2016,2017-09-16 0:00:00,2017-09-09 0:00:00,"r3-vibeclash, p3-emotional, p4-clever, p5-structure, v2-dark, v3-romantic, v4-plotdriven, g0-fantasy, g1-urban-fantasy",,read,1,0,2017,8.54,0,1,0,3,6,4.5,5,1,1,0.5,2,0.8203676471,0.5622132353,2,2,0,1,0,92.27%,Strong Keep,,,0.95,1,0,"a gathering of shadows (shades of magic, #2)|v.e. schwab",0.9742921324,0.6972,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0.6,Fantasy,Urban Fantasy
